Input area altitude distribution in 100 meter elevation bands. As descrided by Elsberg and others(2001), all available DEMs are used to linearly interpolate conventional glacier surfaces.  
Row 1 are bin center elevations(m). Column 1 are years(1-n). Columns 2-n are the glacier area(km^2) within that bin. Final input file must start at the header "Glacier name AAD, km^2,..."





"""Wolverine Glacie"	"r AAD, km^2, re"	ference Wolv_AAD	".xls for headers,"	100 m bins 400-	"1700""	"									
														
NaN	450	550	650	750	850	950	1050	1150	1250	1350	1450	1550	1650	1750
1966	0.053109375	0.292126563	0.514517188	0.444004688	0.302709375	0.796767188	2.544484375	1.531090625	2.414973438	4.399525	2.717448438	0.83810625	0.113579688	0
1967	0.0524125	0.29226875	0.51213125	0.44345625	0.3024125	0.79973125	2.5413875	1.5306875	2.42465625	4.399925	2.70378125	0.83665	0.11273125	0
1968	0.051715625	0.292410938	0.509745313	0.442907813	0.302115625	0.802695313	2.538290625	1.530284375	2.434339063	4.400325	2.690114063	0.83519375	0.111882813	0
1969	0.05101875	0.292553125	0.507359375	0.442359375	0.30181875	0.805659375	2.53519375	1.52988125	2.444021875	4.400725	2.676446875	0.8337375	0.111034375	0
1970	0.050321875	0.292695313	0.504973438	0.441810938	0.301521875	0.808623438	2.532096875	1.529478125	2.453704688	4.401125	2.662779688	0.83228125	0.110185938	0
1971	0.049625	0.2928375	0.5025875	0.4412625	0.301225	0.8115875	2.529	1.529075	2.4633875	4.401525	2.6491125	0.830825	0.1093375	0
1972	0.048928125	0.292979688	0.500201563	0.440714063	0.300928125	0.814551563	2.525903125	1.528671875	2.473070313	4.401925	2.635445313	0.82936875	0.108489063	0
1973	0.04823125	0.293121875	0.497815625	0.440165625	0.30063125	0.817515625	2.52280625	1.52826875	2.482753125	4.402325	2.621778125	0.8279125	0.107640625	0
1974	0.047534375	0.293264063	0.495429688	0.439617188	0.300334375	0.820479688	2.519709375	1.527865625	2.492435938	4.402725	2.608110938	0.82645625	0.106792188	0
1975	0.0468375	0.29340625	0.49304375	0.43906875	0.3000375	0.82344375	2.5166125	1.5274625	2.50211875	4.403125	2.59444375	0.825	0.10594375	0
1976	0.046140625	0.293548438	0.490657813	0.438520313	0.299740625	0.826407813	2.513515625	1.527059375	2.511801563	4.403525	2.580776563	0.82354375	0.105095313	0
1977	0.04544375	0.293690625	0.488271875	0.437971875	0.29944375	0.829371875	2.51041875	1.52665625	2.521484375	4.403925	2.567109375	0.8220875	0.104246875	0
1978	0.044746875	0.293832813	0.485885938	0.437423438	0.299146875	0.832335938	2.507321875	1.526253125	2.531167188	4.404325	2.553442188	0.82063125	0.103398438	0
1979	0.04405	0.293975	0.4835	0.436875	0.29885	0.8353	2.504225	1.52585	2.54085	4.404725	2.539775	0.819175	0.10255	0
1980	0.043353125	0.294117188	0.481114063	0.436326563	0.298553125	0.838264063	2.501128125	1.525446875	2.550532813	4.405125	2.526107813	0.81771875	0.101701563	0
1981	0.04265625	0.294259375	0.478728125	0.435778125	0.29825625	0.841228125	2.49803125	1.52504375	2.560215625	4.405525	2.512440625	0.8162625	0.100853125	0
1982	0.041959375	0.294401563	0.476342188	0.435229688	0.297959375	0.844192188	2.494934375	1.524640625	2.569898438	4.405925	2.498773438	0.81480625	0.100004688	0
1983	0.0412625	0.29454375	0.47395625	0.43468125	0.2976625	0.84715625	2.4918375	1.5242375	2.57958125	4.406325	2.48510625	0.81335	0.09915625	0
1984	0.040565625	0.294685938	0.471570313	0.434132813	0.297365625	0.850120313	2.488740625	1.523834375	2.589264063	4.406725	2.471439063	0.81189375	0.098307813	0
1985	0.03986875	0.294828125	0.469184375	0.433584375	0.29706875	0.853084375	2.48564375	1.52343125	2.598946875	4.407125	2.457771875	0.8104375	0.097459375	0
1986	0.039171875	0.294970313	0.466798438	0.433035938	0.296771875	0.856048438	2.482546875	1.523028125	2.608629688	4.407525	2.444104688	0.80898125	0.096610938	0
1987	0.038475	0.2951125	0.4644125	0.4324875	0.296475	0.8590125	2.47945	1.522625	2.6183125	4.407925	2.4304375	0.807525	0.0957625	0
1988	0.037778125	0.295254688	0.462026563	0.431939063	0.296178125	0.861976563	2.476353125	1.522221875	2.627995313	4.408325	2.416770313	0.80606875	0.094914063	0
1989	0.03708125	0.295396875	0.459640625	0.431390625	0.29588125	0.864940625	2.47325625	1.52181875	2.637678125	4.408725	2.403103125	0.8046125	0.094065625	0
1990	0.036384375	0.295539063	0.457254688	0.430842188	0.295584375	0.867904688	2.470159375	1.521415625	2.647360938	4.409125	2.389435938	0.80315625	0.093217188	0
1991	0.0356875	0.29568125	0.45486875	0.43029375	0.2952875	0.87086875	2.4670625	1.5210125	2.65704375	4.409525	2.37576875	0.8017	0.09236875	0
1992	0.034990625	0.295823438	0.452482813	0.429745313	0.294990625	0.873832813	2.463965625	1.520609375	2.666726563	4.409925	2.362101563	0.80024375	0.091520313	0
1993	0.03429375	0.295965625	0.450096875	0.429196875	0.29469375	0.876796875	2.46086875	1.52020625	2.676409375	4.410325	2.348434375	0.7987875	0.090671875	0
1994	0.033596875	0.296107813	0.447710938	0.428648438	0.294396875	0.879760938	2.457771875	1.519803125	2.686092188	4.410725	2.334767188	0.79733125	0.089823438	0
1995	0.0329	0.29625	0.445325	0.4281	0.2941	0.882725	2.454675	1.5194	2.695775	4.411125	2.3211	0.795875	0.088975	0
1996	0.034183333	0.299866667	0.438608333	0.419633333	0.28815	0.893416667	2.453341667	1.503608333	2.654775	4.454308333	2.322366667	0.782566667	0.091625	0
1997	0.035466667	0.303483333	0.431891667	0.411166667	0.2822	0.904108333	2.452008333	1.487816667	2.613775	4.497491667	2.323633333	0.769258333	0.094275	0
1998	0.03675	0.3071	0.425175	0.4027	0.27625	0.9148	2.450675	1.472025	2.572775	4.540675	2.3249	0.75595	0.096925	0
1999	0.03864375	0.30495625	0.421525	0.39940625	0.2723625	0.9194875	2.44368125	1.4676875	2.58286875	4.5106	2.32051875	0.77193125	0.10045625	0
2000	0.0405375	0.3028125	0.417875	0.3961125	0.268475	0.924175	2.4366875	1.46335	2.5929625	4.480525	2.3161375	0.7879125	0.1039875	0
2001	0.04243125	0.30066875	0.414225	0.39281875	0.2645875	0.9288625	2.42969375	1.4590125	2.60305625	4.45045	2.31175625	0.80389375	0.10751875	0
2002	0.044325	0.298525	0.410575	0.389525	0.2607	0.93355	2.4227	1.454675	2.61315	4.420375	2.307375	0.819875	0.11105	0
2003	0.048920833	0.290029167	0.399883333	0.380341667	0.257283333	0.961858333	2.399295833	1.446391667	2.637670833	4.4089875	2.289004167	0.815720833	0.1062375	0
2004	0.053516667	0.281533333	0.389191667	0.371158333	0.253866667	0.990166667	2.375891667	1.438108333	2.662191667	4.3976	2.270633333	0.811566667	0.101425	0
