Input point mass balance file. Row 1 are headers of each column. Column 1 is mass balance year. Column 2 is site name. Column 3 is the date (mm/mm/yyyy) of spring observations.
Column 4 is the date (mm/dd/yyyy) of fall observations. Column 5 is the site elevation (HAE). Column 6 is the specific winter mass balance in combined time system (Mayo and others, 1972).
Column 7 is the specific annual balance in combine time system. Column 8 is the amount of addditional observed ablation between fall and spring visits. Column 9 is the amount of snow which fell between spring and fall visits.
Column 10 is the temperature(C) of the previous summers surface measured in the spring. All mass balance observations are in meters water equivalent mass. If a observation was not made enter NaN.
Final input file must begin with row 1 as seen in the example below.

bal_year	site_name	date_1	date_2	z	winter	net	winter_ablation(-)	summer_accumulation(+)	spring_ss_temp
1966	A	4/23/1966	9/3/1966	617	0.77	-3.62	NaN	0	0
1966	B	4/23/1966	10/24/1966	1084	1.01	-0.74	NaN	0.26	NaN
1966	C	4/23/1966	10/24/1966	1307	2.06	1.07	NaN	0.46	-3
1967	A	5/26/1967	10/4/1967	616	0.39	-4.95	-1.3	0	0
1967	B	4/4/1967	10/1/1967	1083	0.88	NaN	0	NaN	NaN
1967	C	4/2/1967	10/1/1967	1307	1.95	NaN	0	NaN	-3.25
1968	A	4/4/1968	8/20/1968	615	0.88	-3.08	-0.14	0	0
1968	B	6/5/1968	8/21/1968	1083	1.62	-0.95	0	0	NaN
1968	C	6/6/1968	10/10/1968	1307	2.36	0.78	0	0.34	-3
1969	A	4/13/1969	9/16/1969	615	0.62	-2.08	NaN	0	0
1969	B	6/5/1969	9/13/1969	1083	2.07	-0.68	-0.49	0	NaN
1969	C	6/3/1969	11/19/1969	1307	2.79	2.4	0	1.21	-4
1970	A	4/18/1970	10/3/1970	614	1.54	-2.51	-0.62	0	0
1970	B	4/11/1970	9/27/1970	1083	2.63	0.94	-0.08	0	NaN
1970	C	4/19/1970	9/29/1970	1307	4.03	3.16	0	0.08	-2.25
1971	A	4/27/1971	8/14/1971	613	0.87	-1.37	-0.12	0	0
1971	B	4/27/1971	10/14/1971	1082	2.13	0.07	NaN	0.26	NaN
1971	C	7/11/1971	10/21/1971	1307	2.86	1.88	0	0.5	-2.5
1972	A	4/11/1972	8/19/1972	612	0.13	-3.2	-1.33	0	0
1972	B	6/21/1972	8/18/1972	1082	0.96	-0.68	0	0	NaN
1972	C	6/21/1972	10/3/1972	1307	1.45	0.01	0	0.01	-4.25
1973	A	5/31/1973	8/25/1973	612	0.76	-2.82	-1.1	0	0
1973	B	6/1/1973	8/24/1973	1082	1.42	0	-0.66	0	NaN
1973	C	7/6/1973	10/16/1973	1306	2.64	1.89	0	0.35	-4.25
1974	A	6/9/1974	9/22/1974	611	0.04	-5.12	-0.77	0	0
1974	B	6/8/1974	9/22/1974	1082	1.38	-1.75	-0.07	0	NaN
1974	C	6/8/1974	2/6/1975	1306	1.78	1.38	0	1.38	-3.5
1975	A	5/31/1975	8/20/1975	610	0.59	-1.98	-0.09	0	0
1975	B	6/3/1975	10/27/1975	1081	1.96	-0.6	0	0.15	NaN
1975	C	6/3/1975	10/27/1975	1306	2.73	1.36	0	0.35	-2.75
1976	A	2/25/1976	7/12/1976	609	0.47	-1.51	-2.29	0	0
1976	B	7/12/1976	10/15/1976	1081	0.65	-1.15	0	0.26	NaN
1976	C	7/13/1976	10/20/1976	1306	1.5	1.01	0	0.67	-3
1977	A	6/6/1977	10/24/1977	609	1.99	-3	-3.36	0.19	0
1977	B	6/11/1977	10/24/1977	1081	3.36	0.58	0	0.45	NaN
1977	C	6/7/1977	10/24/1977	1306	4.86	4.21	0	0.78	-2.25
1978	A	6/4/1978	9/28/1978	608	0.94	-3.78	0	0	0
1978	B	6/2/1978	9/29/1978	1081	2.35	-0.38	0	0	NaN
1978	C	6/2/1978	9/29/1978	1306	3.96	2.12	0	0.05	-2.75
1979	A	3/14/1979	8/11/1979	607	0.79	-3.58	-0.1	0	0
1979	B	3/7/1979	8/6/1979	1080	1.11	-0.23	-0.05	0	NaN
1979	C	3/11/1979	8/4/1979	1306	1.98	1.3	0	0	-3.5
1980	A	6/4/1980	9/9/1980	607	1.63	-1.4	-2.31	0	0
1980	B	6/5/1980	9/5/1980	1080	2.18	1.33	-2.15	0	NaN
1980	C	1/11/1980	9/5/1980	1306	1.95	NaN	NaN	NaN	-2.25
1981	A	6/2/1981	9/1/1981	606	1.13	-2.01	-0.56	0	0
1981	B	6/7/1981	9/1/1981	1080	2.64	0.95	NaN	0	NaN
1981	C	6/4/1981	9/2/1981	1305	7.73	5.79	0	0	-2.5
1982	A	1/20/1982	9/2/1982	605	0.34	-3.95	-0.64	0	0
1982	B	6/26/1982	9/1/1982	1080	0.93	-0.65	-0.02	0	NaN
1982	C	6/26/1982	11/6/1982	1305	2.89	1.75	NaN	0.39	-2.25
1983	A	6/11/1983	9/2/1983	604	0.36	-3.41	-0.75	0	0
1983	B	6/13/1983	9/2/1983	1079	1.57	-0.73	-0.35	0	NaN
1983	C	6/15/1983	11/14/1983	1305	3.13	1.94	0	0.84	-2.5
1984	A	6/7/1984	8/17/1984	604	0.35	-3.48	-0.78	0	0
1984	B	6/8/1984	8/20/1984	1079	1.39	-0.61	-0.18	0	NaN
1984	C	6/8/1984	10/30/1984	1305	3.08	1.8	0	0.47	-2
1985	A	6/8/1985	8/27/1985	603	0.98	-2.22	-1.84	0	0
1985	B	6/14/1985	8/27/1985	1079	1.59	0.17	-0.59	0	NaN
1985	C	6/5/1985	2/19/1986	1305	3.32	4.28	0	2.52	-2.5
1986	A	6/14/1986	8/20/1986	602	0.42	-3.07	-0.96	0	0
1986	B	6/16/1986	8/20/1986	1079	1.41	-0.33	-0.28	0	NaN
1986	C	6/15/1986	8/20/1986	1305	3.18	1.62	0	0	-2.5
1987	A	6/14/1987	10/1/1987	602	0.84	-3.23	-1.38	0	-2
1987	B	6/13/1987	10/1/1987	1079	2.39	0.63	-0.16	0.2	NaN
1987	C	6/13/1987	10/1/1987	1305	4.46	3.64	NaN	0.5	-2.5
1988	A	3/19/1988	9/20/1988	601	1.77	-2.38	NaN	0	-1
1988	B	6/10/1988	9/17/1988	1078	2.96	0.47	0	0	NaN
1988	C	6/10/1988	9/18/1988	1304	3.89	2.67	0	0.07	-2.5
1989	A	2/16/1989	10/3/1989	600	NaN	-6.64	NaN	0	0
1989	B	6/17/1989	10/3/1989	1078	0.86	-2.22	NaN	0	NaN
1989	C	6/17/1989	10/8/1989	1304	2.4	0.34	0	0.21	-3.75
1990	A	3/17/1990	9/10/1990	599	0.7	-5.76	-0.13	0	-1
1990	B	3/17/1990	9/11/1990	1078	1.24	-3.07	-0.03	0	NaN
